MOV  | REG  : 0    | CONST: 100  | 10cc   |
MOV  | REG  : 1    | CONST: 10   | 10cc   |
MOV  | REG  : 2    | ADDR : 4    | 200cc  |
MUL  | REG  : 1    | REG  : 2    | 30cc   |
ADD  | REG  : 0    | REG  : 1    | 10cc   |
MOV  | ADDR : 0    | REG  : 0    | 200cc  |
MOV  | REG  : 0    | ADDR : 8    | 200cc  |
MOV  | REG  : 1    | CONST: 100  | 10cc   |
MOV  | REG  : 2    | CONST: 10   | 10cc   |
MUL  | REG  : 1    | REG  : 2    | 30cc   |
MOV  | REG  : 2    | CONST: 50   | 10cc   |
DIV  | REG  : 1    | REG  : 2    | 50cc   |
MOV  | REG  : 0    | CONST: 0    | 10cc   |
MOV  | REG  : 1    | CONST: 1    | 10cc   |
SUB  | REG  : 0    | REG  : 1    | 10cc   |
MOV  | ADDR : 0    | REG  : 0    | 200cc  |
MOV  | REG  : 0    | CONST: 2    | 10cc   |
MOV  | REG  : 1    | CONST: 3    | 10cc   |
MUL  | REG  : 0    | REG  : 1    | 30cc   |
MOV  | ADDR : 4    | REG  : 0    | 200cc  |
MOV  | REG  : 0    | CONST: 1    | 10cc   |
MOV  | ADDR : 12   | REG  : 0    | 200cc  |
MOV  | REG  : 0    | CONST: 1    | 10cc   |
MOV  | ADDR : 16   | REG  : 0    | 200cc  |
MOV  | REG  : 0    | CONST: 1    | 10cc   |
MOV  | ADDR : 20   | REG  : 0    | 200cc  |
MOV  | REG  : 0    | CONST: 1    | 10cc   |
MOV  | ADDR : 24   | REG  : 0    | 200cc  |
MOV  | REG  : 0    | CONST: 1    | 10cc   |
MOV  | ADDR : 28   | REG  : 0    | 200cc  |
MOV  | REG  : 0    | CONST: 1    | 10cc   |
MOV  | ADDR : 32   | REG  : 0    | 200cc  |
MOV  | REG  : 0    | CONST: 1    | 10cc   |
MOV  | ADDR : 36   | REG  : 0    | 200cc  |
MOV  | REG  : 0    | CONST: 1    | 10cc   |
MOV  | ADDR : 40   | REG  : 0    | 200cc  |
MOV  | REG  : 0    | CONST: 1    | 10cc   |
MOV  | ADDR : 44   | REG  : 0    | 200cc  |
MOV  | REG  : 0    | CONST: 1    | 10cc   |
MOV  | ADDR : 48   | REG  : 0    | 200cc  |
MOV  | REG  : 0    | CONST: 1    | 10cc   |
MOV  | ADDR : 52   | REG  : 0    | 200cc  |
MOV  | REG  : 0    | CONST: 1    | 10cc   |
MOV  | ADDR : 56   | REG  : 0    | 200cc  |
MOV  | REG  : 0    | ADDR : 8    | 200cc  |
MOV  | REG  : 1    | ADDR : 12   | 200cc  |
ADD  | REG  : 0    | REG  : 1    | 10cc   |
MOV  | REG  : 1    | ADDR : 16   | 200cc  |
ADD  | REG  : 0    | REG  : 1    | 10cc   |
MOV  | REG  : 1    | ADDR : 20   | 200cc  |
ADD  | REG  : 0    | REG  : 1    | 10cc   |
MOV  | ADDR : 60   | REG  : 0    | 200cc  |
MOV  | REG  : 0    | ADDR : 56   | 200cc  |
MOV  | REG  : 1    | ADDR : 24   | 200cc  |
MOV  | REG  : 2    | ADDR : 28   | 200cc  |
ADD  | REG  : 1    | REG  : 2    | 10cc   |
MOV  | REG  : 2    | ADDR : 32   | 200cc  |
ADD  | REG  : 1    | REG  : 2    | 10cc   |
MOV  | REG  : 2    | ADDR : 36   | 200cc  |
ADD  | REG  : 1    | REG  : 2    | 10cc   |
MUL  | REG  : 0    | REG  : 1    | 30cc   |
MOV  | ADDR : 64   | REG  : 0    | 200cc  |
MOV  | REG  : 0    | ADDR : 60   | 200cc  |
MOV  | REG  : 1    | ADDR : 40   | 200cc  |
MOV  | REG  : 2    | ADDR : 44   | 200cc  |
ADD  | REG  : 1    | REG  : 2    | 10cc   |
MOV  | REG  : 2    | ADDR : 48   | 200cc  |
ADD  | REG  : 1    | REG  : 2    | 10cc   |
MOV  | REG  : 2    | ADDR : 52   | 200cc  |
ADD  | REG  : 1    | REG  : 2    | 10cc   |
DIV  | REG  : 0    | REG  : 1    | 50cc   |
MOV  | ADDR : 68   | REG  : 0    | 200cc  |
MOV  | REG  : 0    | ADDR : 0    | 200cc  |
MOV  | REG  : 1    | ADDR : 64   | 200cc  |
SUB  | REG  : 0    | REG  : 1    | 10cc   |
MOV  | ADDR : 0    | REG  : 0    | 200cc  |
MOV  | REG  : 0    | ADDR : 4    | 200cc  |
MOV  | REG  : 1    | ADDR : 64   | 200cc  |
XOR  | REG  : 0    | REG  : 1    | 10cc   |
MOV  | ADDR : 4    | REG  : 0    | 200cc  |
MOV  | REG  : 0    | ADDR : 0    | 200cc  |
MOV  | REG  : 1    | ADDR : 4    | 200cc  |
MOV  | REG  : 2    | ADDR : 8    | 200cc  |
EXIT | CONST: 0    |             | 20cc   |
-------------------------------------------
exit normally

r[0] = -5
r[1] = 2
r[2] = 0
Total clock cycles are 9180
